time ,vals ,flag ,type
721386,1.4,0,1
721387,1.4,0,1
721395,2.1,0,1
721404,1.2,0,2
721405,42.8,0,2
721658,0.5,0,2
721669,0.5,0,1
721683,0.1,0,2
721689,6.5,0,1
721692,0.6,0,2
721710,0.4,0,1
721714,10.5,0,1
721718,0.2,0,1
721722,0.2,0,2
721753,4,0,1
721773,2,0,1
721790,2.4,0,2
721791,23.2,0,1
721822,2,0,2
721823,0.5,0,2
721829,0.6,0,1
721852,1.2,0,2
722017,3.5,0,1
722083,0.3,0,2
722088,0.2,0,1
722089,4.2,0,1
722090,1,0,1
722091,2.4,0,1
722092,1.7,0,2
722101,0.1,0,1
722124,0.2,0,1
722169,1.4,0,2
722179,3.2,0,1
722180,9,0,1
722187,1.5,0,1
722198,5.3,0,1
722203,4.7,0,1
722421,0.5,0,2
722431,2,0,1
722433,1.7,0,1
722440,0.5,0,1
722441,4.5,0,1
722452,2.3,0,1
722460,1.6,0,1
722504,0.8,0,1
722521,0.3,0,1
723108,3.2,0,2
723154,0.1,0,1
723155,2,0,1
723167,0.2,0,2
723203,4,0,1
723204,1.5,0,1
723222,1,0,2
723224,0.9,0,1
723235,7,0,2
723236,7.4,0,1
723254,2.4,0,2
723926,9.1,0,1
723937,1.7,0,2
723956,0.3,0,1
723957,0.9,0,1
723964,2.8,0,1
723965,3.9,0,1
723969,4.6,0,1
723975,1.8,0,2
723993,0.2,0,1
724005,5.9,0,1
724222,1.8,0,1
724223,2.1,0,1
724225,3.2,0,1
724238,3.3,0,1
724250,0.4,0,1
724265,0.6,0,2
724294,5.1,0,1
724299,3.3,0,1
724301,0.6,0,2
724309,4.3,0,2
724321,0.2,0,2
724322,1.6,0,2
724324,0.3,0,1
724333,0.2,0,1
724334,0.6,0,1
724349,5.7,0,1
724356,0.5,0,1
724357,0.7,0,1
724383,0.7,0,1
724618,1.3,0,2
724635,3.3,0,2
724668,0.4,0,1
724679,1.1,0,1
724704,0.1,0,1
724712,0.2,0,1
724715,0.7,0,1
724725,0.4,0,2
724727,0.8,0,1
724985,0.3,0,2
724999,2.9,0,2
725042,0.3,0,1
725053,3.8,0,1
725058,1.6,0,1
725084,1,0,2
725088,24.1,0,2
725118,3.5,0,1
725119,6,0,1
725138,0.4,0,2
725312,0.2,0,2
725314,0.3,0,0
725344,2.8,0,2
725358,12.1,0,2
725359,1.5,0,1
725360,10,0,1
725391,0.3,0,1
725408,0.2,0,1
725411,6.6,0,2
725412,0.7,0,2
725446,1.9,0,2
725463,2.6,0,1
725464,8.2,0,1
725465,1.2,0,1
725469,1.5,0,2
725470,8.5,0,1
725646,16,0,1
725679,0.1,0,1
725683,2.6,0,1
725704,1.6,0,1
725705,11.7,0,2
725706,1.9,0,1
725707,3.5,0,1
725708,0.1,0,2
725771,0.3,0,1
725772,1,0,1
725777,13,0,1
725794,1.3,0,1
725798,1.2,0,2
725814,4.8,0,1
725819,0.3,0,2
725820,4.2,0,1
726027,0.3,0,2
726034,0.8,0,2
726077,0.4,0,1
726083,1.3,0,1
726090,2.7,0,1
726091,3.3,0,1
726092,0.2,0,1
726093,0.3,0,1
726094,0.1,0,1
726100,0.6,0,2
726101,0.7,0,2
726105,0.2,0,2
726106,4.8,0,2
726113,0.4,0,1
726117,5.7,0,1
726118,0.2,0,1
726119,0.5,0,1
726127,0.6,0,1
726135,1.2,0,1
726139,0.5,0,2
726146,0.7,0,2
726150,2.8,0,1
726151,1.7,0,1
726154,0.5,0,2
726155,0.5,0,1
726162,0.3,0,1
726166,1.7,0,1
726168,1.5,0,2
726169,4.4,0,2
726181,0.8,0,1
726213,1.1,0,1
726215,0.5,0,1
726450,1,0,2
726460,10.3,0,2
726461,6.8,0,2
726462,0.4,0,1
726463,1.9,0,1
726478,1.6,0,1
726488,4.7,0,2
726489,5.9,0,2
726495,2,0,2
726496,0.5,0,2
726510,2,0,1
726511,1,0,1
726512,0.3,0,1
726555,2.9,0,1
726814,0.4,0,1
726848,1.1,0,1
726859,5.4,0,2
726865,3.8,0,2
726888,1.2,0,1
726898,0.6,0,1
726904,20.1,0,1
726905,1.2,0,1
726923,2.3,0,2
726924,13.9,0,1
727126,0.2,0,2
727127,0.5,0,2
727210,0.9,0,2
727221,0.2,0,2
727222,1.5,0,1
727223,4.4,0,1
727224,0.9,0,1
727236,2.3,0,2
727237,3,0,2
727256,0.4,0,1
727261,2.3,0,2
727262,1.2,0,1
727263,0.2,0,1
727278,0.8,0,1
727279,19,0,1
727280,0.5,0,1
727483,1.3,0,2
727532,0.5,0,1
